metric,strategy,dataset,unit,kind,pick,regret
ap,fixed,http,kddcup99,low,TR4,0.0
ap,fixed,smtp,kddcup99,low,TR4,0.4147490501400271
ap,kind,http,kddcup99,low,TR4,0.0
ap,kind,smtp,kddcup99,low,TR4,0.4147490501400271
ap,fixed,letter,letter,mid,TR4,0.38105069632171656
ap,kind,letter,letter,mid,IB4,0.14263029068217908
ap,fixed,magic.gamma,magic.gamma,low,TR4,0.0893135393323008
ap,kind,magic.gamma,magic.gamma,low,TR4,0.0893135393323008
ap,fixed,mammography,mammography,low,TR4,0.0
ap,kind,mammography,mammography,low,TR4,0.0
ap,fixed,mnist,mnist,high,TR4,0.1788868340407023
ap,kind,mnist,mnist,high,TR4,0.1788868340407023
ap,fixed,musk,musk,high,TR4,0.0
ap,kind,musk,musk,high,IB4,0.7599575401608407
ap,fixed,optdigits,optdigits,high,TR4,0.0
ap,kind,optdigits,optdigits,high,SV3,0.04318270996640179
ap,fixed,pendigits,pendigits,mid,TR4,0.0
ap,kind,pendigits,pendigits,mid,IB4,0.23513582566650762
ap,fixed,shuttle,shuttle,low,TR4,0.0
ap,kind,shuttle,shuttle,low,TR4,0.0
ap,fixed,skin,skin,low,TR4,0.2465489808774079
ap,kind,skin,skin,low,TR4,0.2465489808774079
ap,fixed,speech,speech,high,TR4,0.0081787569170296
ap,kind,speech,speech,high,TR4,0.0081787569170296
ap,fixed,landsat,statlog_landsat,mid,TR4,0.0643238137662901
ap,fixed,satellite,statlog_landsat,mid,TR4,0.11998777144414696
ap,fixed,satimage-2,statlog_landsat,mid,TR4,0.0491778277024304
ap,kind,landsat,statlog_landsat,mid,IB4,0.0
ap,kind,satellite,statlog_landsat,mid,IB4,0.22909928639623256
ap,kind,satimage-2,statlog_landsat,mid,IB4,0.5631500124674402
ap,fixed,annthyroid,thyroid,low,TR4,0.20380369517970154
ap,fixed,thyroid,thyroid,low,TR4,0.22855677340875802
ap,kind,annthyroid,thyroid,low,TR4,0.20380369517970154
ap,kind,thyroid,thyroid,low,TR4,0.22855677340875802
ap,fixed,vertebral,vertebral,low,TR4,0.015068718156708502
ap,kind,vertebral,vertebral,low,TR4,0.015068718156708502
ap,fixed,vowels,vowels,mid,TR4,0.3595898703741649
ap,kind,vowels,vowels,mid,IB4,0.0
ap,fixed,wine,wine,mid,TR4,0.5672647021437344
ap,kind,wine,wine,mid,IB4,0.6543208729097986
ap,fixed,WBC,wisconsin_breast,low,TR4,0.0
ap,fixed,WDBC,wisconsin_breast,mid,TR4,0.009655529655529738
ap,fixed,WPBC,wisconsin_breast,mid,TR4,0.014470635384438879
ap,fixed,breastw,wisconsin_breast,low,TR4,0.005737755130946431
ap,kind,WBC,wisconsin_breast,low,TR4,0.0
ap,kind,WDBC,wisconsin_breast,mid,IB4,0.09700115292792644
ap,kind,WPBC,wisconsin_breast,mid,IB4,0.010688827955357305
ap,kind,breastw,wisconsin_breast,low,TR4,0.005737755130946431
ap,fixed,yeast,yeast,low,TR4,0.02002187765388108
ap,kind,yeast,yeast,low,TR4,0.02002187765388108
