dataset,task,family,rows,features,signature,best_model,best,first_model,first,top4,boosting,tuned,tabpfn,eligible_mean,eligible_worst,best_ruled_out,best_ruled_out_model,ruled_out_why,n_eligible,n_ruled_out,regret_first,regret_top4,regret_boosting,regret_eligible_mean
609_fri_c0_1000_5,regression,friedman,1000,5,A11 A21 A31 A41 A53 A61,SV2,0.9447,EN2,0.9077,0.915,0.9167,0.9224,,0.7494,-0.0033,,,,19,0,0.037,0.0297,0.028,0.1953
612_fri_c1_1000_5,regression,friedman,1000,5,A11 A21 A31 A41 A53 A61,TR3,0.9489,EN2,0.9364,0.9489,0.9455,0.9522,,0.6289,-0.0029,,,,19,0,0.0125,0.0,0.0034,0.32
613_fri_c3_250_5,regression,friedman,250,5,A11 A21 A31 A41 A53 A61,NN2,0.9134,EN2,0.8538,0.8769,0.8444,0.8557,,0.5755,-0.0111,,,,19,0,0.0595,0.0364,0.069,0.3379
615_fri_c4_250_10,regression,friedman,250,10,A11 A21 A31 A41 A54 A61,EN3,0.8359,EN2,0.8249,0.8249,0.8133,0.8334,,0.5109,-0.0171,,,,19,0,0.011,0.011,0.0226,0.325
616_fri_c4_500_50,regression,friedman,500,50,A11 A21 A31 A41 A53 A61,BASE-HGB,0.8489,EN2,0.8478,0.8478,0.8489,0.8749,,0.3599,-0.2867,,,,19,0,0.0011,0.0011,0.0,0.4889
617_fri_c3_500_5,regression,friedman,500,5,A11 A21 A31 A41 A53 A61,TR3,0.9154,EN2,0.9024,0.9154,0.9063,0.924,,0.5941,-0.006,,,,19,0,0.013,0.0,0.0092,0.3213
618_fri_c3_1000_50,regression,friedman,1000,50,A11 A21 A31 A41 A53 A61,EN2,0.917,EN2,0.917,0.917,0.916,0.9332,,0.4255,-0.7468,,,,19,0,0.0,0.0,0.001,0.4915
620_fri_c1_1000_25,regression,friedman,1000,25,A11 A21 A31 A41 A53 A61,BASE-HGB,0.9258,EN2,0.9222,0.9248,0.9258,0.9346,,0.437,-0.2144,,,,19,0,0.0036,0.001,0.0,0.4889
622_fri_c2_1000_50,regression,friedman,1000,50,A11 A21 A31 A41 A53 A61,EN2,0.9207,EN2,0.9207,0.9207,0.9145,0.9276,,0.3756,-1.2072,,,,19,0,0.0,0.0,0.0062,0.5451
623_fri_c4_1000_10,regression,friedman,1000,10,A11 A21 A31 A41 A53 A61,TR3,0.931,EN2,0.9261,0.931,0.9271,0.9423,,0.5947,-0.0032,,,,19,0,0.005,0.0,0.0039,0.3363
626_fri_c2_500_50,regression,friedman,500,50,A11 A21 A31 A41 A53 A61,EN2,0.8891,EN2,0.8891,0.8891,0.88,0.8881,,0.3777,-0.2878,,,,19,0,0.0,0.0,0.009,0.5114
627_fri_c2_500_10,regression,friedman,500,10,A11 A21 A31 A41 A53 A61,TR3,0.9056,EN2,0.9056,0.9056,0.8975,0.9221,,0.5304,-0.0039,,,,19,0,0.0001,0.0,0.0082,0.3753
628_fri_c3_1000_5,regression,friedman,1000,5,A11 A21 A31 A41 A53 A61,TR3,0.9452,EN2,0.9243,0.9452,0.9396,0.9496,,0.636,-0.0069,,,,19,0,0.0209,0.0,0.0056,0.3092
631_fri_c1_500_5,regression,friedman,500,5,A11 A21 A31 A41 A53 A61,NN2,0.9297,EN2,0.8962,0.9219,0.8942,0.9167,,0.5868,-0.0067,,,,19,0,0.0335,0.0078,0.0354,0.3429
633_fri_c0_500_25,regression,friedman,500,25,A11 A21 A31 A41 A53 A61,BASE-HGB,0.8773,EN2,0.8702,0.8743,0.8773,0.8826,,0.6142,-0.004,,,,19,0,0.0071,0.0029,0.0,0.263
