dataset,task,rows,features,subsampled,signature,flags,model,model_name,eligible,ruled_out_why,recommended_rank,score,score_std,seconds,status,detail,seed
new_thyroid,classification,215,5,False,A11 A21 A31 A41 A51 A61,A54,NN2,MLP (Feedforward),True,,5,0.9203174603174602,0.02790040957805697,0.97,ok,,0
new_thyroid,classification,215,5,False,A11 A21 A31 A41 A51 A61,A54,EN3,XGBoost,True,,4,0.9063492063492063,0.02229014562735487,0.15,ok,,0
new_thyroid,classification,215,5,False,A11 A21 A31 A41 A51 A61,A54,EN4,LightGBM,True,,2,0.906984126984127,0.039390672683799643,0.2,ok,,0
new_thyroid,classification,215,5,False,A11 A21 A31 A41 A51 A61,A54,BASE-HGB,Histogram Gradient Boosting (baseline),False,,,0.8980952380952381,0.03394599478369088,0.63,ok,,0
prnn_synth,classification,250,2,False,A11 A21 A31 A41 A51 A61,A54,LM2,Logistic Regression,True,,10,0.868,0.06273754856543248,0.06,ok,,0
prnn_synth,classification,250,2,False,A11 A21 A31 A41 A51 A61,A54,TR1,Decision Tree,True,,13,0.808,0.0545527267879434,0.04,ok,,0
prnn_synth,classification,250,2,False,A11 A21 A31 A41 A51 A61,A54,TR2,Random Forest,True,,3,0.8399999999999999,0.055136195008360867,1.64,ok,,0
prnn_synth,classification,250,2,False,A11 A21 A31 A41 A51 A61,A54,TR3,Extra Trees,True,,1,0.8560000000000001,0.04963869458396339,1.3,ok,,0
prnn_synth,classification,250,2,False,A11 A21 A31 A41 A51 A61,A54,EN1,AdaBoost,True,,15,0.8440000000000001,0.02939387691339811,0.32,ok,,0
prnn_synth,classification,250,2,False,A11 A21 A31 A41 A51 A61,A54,EN2,Gradient Boosting (GBM),True,,7,0.8440000000000001,0.03878143885933063,0.36,ok,,0
prnn_synth,classification,250,2,False,A11 A21 A31 A41 A51 A61,A54,EN6,Stacking,True,,6,0.8480000000000001,0.041182520563948,0.39,ok,,0
prnn_synth,classification,250,2,False,A11 A21 A31 A41 A51 A61,A54,EN7,Voting Ensemble,True,,8,0.8560000000000001,0.0496386945839634,0.11,ok,,0
prnn_synth,classification,250,2,False,A11 A21 A31 A41 A51 A61,A54,SV1,SVM (linear),True,,12,0.8640000000000001,0.05851495535331119,0.04,ok,,0
prnn_synth,classification,250,2,False,A11 A21 A31 A41 A51 A61,A54,SV2,Kernel SVM (RBF/Poly),True,,9,0.8640000000000001,0.0344093010681705,0.05,ok,,0
prnn_synth,classification,250,2,False,A11 A21 A31 A41 A51 A61,A54,PR1,Naive Bayes,True,,16,0.8320000000000001,0.07440430095095311,0.04,ok,,0
prnn_synth,classification,250,2,False,A11 A21 A31 A41 A51 A61,A54,IB1,k-Nearest Neighbors,True,,14,0.8280000000000001,0.043081318457076016,0.05,ok,,0
prnn_synth,classification,250,2,False,A11 A21 A31 A41 A51 A61,A54,DR4,LDA (Linear Discriminant Analysis),True,,11,0.8480000000000001,0.05741080037762931,0.04,ok,,0
prnn_synth,classification,250,2,False,A11 A21 A31 A41 A51 A61,A54,NN1,Perceptron,True,,17,0.796,0.04270831300812528,0.05,ok,,0
prnn_synth,classification,250,2,False,A11 A21 A31 A41 A51 A61,A54,NN2,MLP (Feedforward),True,,5,0.86,0.04560701700396552,0.6,ok,,0
prnn_synth,classification,250,2,False,A11 A21 A31 A41 A51 A61,A54,EN3,XGBoost,True,,4,0.8360000000000001,0.05571355310873644,0.15,ok,,0
prnn_synth,classification,250,2,False,A11 A21 A31 A41 A51 A61,A54,EN4,LightGBM,True,,2,0.852,0.03487119154832533,0.13,ok,,0
prnn_synth,classification,250,2,False,A11 A21 A31 A41 A51 A61,A54,BASE-HGB,Histogram Gradient Boosting (baseline),False,,,0.8480000000000001,0.020396078054371124,0.29,ok,,0
analcatdata_lawsuit,classification,264,4,False,A11 A21 A38 A41 A52 A61,A54,LM2,Logistic Regression,True,,10,0.7979591836734694,0.167183531469168,0.08,ok,,0
analcatdata_lawsuit,classification,264,4,False,A11 A21 A38 A41 A52 A61,A54,TR1,Decision Tree,True,,13,0.8688775510204081,0.10505249476123917,0.07,ok,,0
