dataset,task,family,best,ceiling,current,prior,prior_fit,prior_knn,boosting,tuned,current_model,prior_model,prior_fit_model,prior_knn_model,boosting_model,tuned_model
607_fri_c4_1000_50,regression,friedman,0.916,0.9317,0.213,0.9124,0.9124,0.9124,0.9163,0.9317,LM1,TR3,EN2,TR3,BASE-HGB,BASE-HGB-TUNED
608_fri_c3_1000_10,regression,friedman,0.9366,0.9367,0.2769,0.9366,0.9244,0.9366,0.9231,0.9367,LM1,TR3,EN2,TR3,BASE-HGB,BASE-HGB-TUNED
609_fri_c0_1000_5,regression,friedman,0.9447,0.9447,0.7233,0.8804,0.8804,0.9077,0.9167,0.9224,LM1,TR3,TR3,EN2,BASE-HGB,BASE-HGB-TUNED
612_fri_c1_1000_5,regression,friedman,0.9489,0.9522,0.2494,0.9489,0.9489,0.9364,0.9455,0.9522,LM1,TR3,TR3,EN2,BASE-HGB,BASE-HGB-TUNED
613_fri_c3_250_5,regression,friedman,0.9134,0.9134,0.2377,0.8769,0.8769,0.8769,0.8444,0.8557,LM1,TR3,TR3,TR3,BASE-HGB,BASE-HGB-TUNED
615_fri_c4_250_10,regression,friedman,0.8359,0.8359,0.3104,0.8131,0.8131,0.8131,0.8133,0.8334,LM1,TR3,TR3,TR3,BASE-HGB,BASE-HGB-TUNED
616_fri_c4_500_50,regression,friedman,0.8481,0.8749,0.1191,0.8384,0.8478,0.8384,0.8489,0.8749,LM1,TR3,EN2,TR3,BASE-HGB,BASE-HGB-TUNED
617_fri_c3_500_5,regression,friedman,0.9154,0.924,0.2201,0.9154,0.9154,0.9154,0.9063,0.924,LM1,TR3,TR3,TR3,BASE-HGB,BASE-HGB-TUNED
618_fri_c3_1000_50,regression,friedman,0.917,0.9332,0.2809,0.9111,0.917,0.9111,0.916,0.9332,LM1,TR3,EN2,TR3,BASE-HGB,BASE-HGB-TUNED
620_fri_c1_1000_25,regression,friedman,0.9248,0.9346,0.2512,0.9135,0.9222,0.9135,0.9258,0.9346,LM1,TR3,EN2,TR3,BASE-HGB,BASE-HGB-TUNED
622_fri_c2_1000_50,regression,friedman,0.9207,0.9276,0.2349,0.8999,0.9207,0.8999,0.9145,0.9276,LM1,TR3,EN2,TR3,BASE-HGB,BASE-HGB-TUNED
623_fri_c4_1000_10,regression,friedman,0.931,0.9423,0.2824,0.931,0.9261,0.931,0.9271,0.9423,LM1,TR3,EN2,TR3,BASE-HGB,BASE-HGB-TUNED
626_fri_c2_500_50,regression,friedman,0.8891,0.8891,0.1347,0.8561,0.8891,0.8561,0.88,0.8881,LM1,TR3,EN2,TR3,BASE-HGB,BASE-HGB-TUNED
627_fri_c2_500_10,regression,friedman,0.9056,0.9221,0.2421,0.9056,0.9056,0.9056,0.8975,0.9221,LM1,TR3,EN2,TR3,BASE-HGB,BASE-HGB-TUNED
628_fri_c3_1000_5,regression,friedman,0.9452,0.9496,0.2553,0.9452,0.9452,0.9243,0.9396,0.9496,LM1,TR3,TR3,EN2,BASE-HGB,BASE-HGB-TUNED
631_fri_c1_500_5,regression,friedman,0.9297,0.9297,0.2638,0.9219,0.9219,0.9219,0.8942,0.9167,LM1,TR3,TR3,TR3,BASE-HGB,BASE-HGB-TUNED
633_fri_c0_500_25,regression,friedman,0.8743,0.8826,0.6911,0.7977,0.8702,0.7977,0.8773,0.8826,LM1,TR3,EN2,TR3,BASE-HGB,BASE-HGB-TUNED
635_fri_c0_250_10,regression,friedman,0.823,0.842,0.6284,0.7682,0.8003,0.7682,0.8274,0.842,LM1,TR3,EN2,TR3,BASE-HGB,BASE-HGB-TUNED
637_fri_c1_500_50,regression,friedman,0.8794,0.8794,0.0586,0.8476,0.8794,0.8476,0.8632,0.8672,LM1,TR3,EN2,TR3,BASE-HGB,BASE-HGB-TUNED
641_fri_c1_500_10,regression,friedman,0.9111,0.918,0.2384,0.9111,0.9103,0.9111,0.9087,0.918,LM1,TR3,EN2,TR3,BASE-HGB,BASE-HGB-TUNED
643_fri_c2_500_25,regression,friedman,0.8925,0.8948,0.1615,0.8751,0.8925,0.8751,0.8877,0.8948,LM1,TR3,EN2,TR3,BASE-HGB,BASE-HGB-TUNED
644_fri_c4_250_25,regression,friedman,0.794,0.794,0.0728,0.794,0.794,0.794,0.7734,0.7653,LM1,TR3,TR3,TR3,BASE-HGB,BASE-HGB-TUNED
645_fri_c3_500_50,regression,friedman,0.8622,0.8735,0.2295,0.825,0.8622,0.825,0.8585,0.8735,LM1,TR3,EN2,TR3,BASE-HGB,BASE-HGB-TUNED
646_fri_c3_500_10,regression,friedman,0.9097,0.9097,0.2846,0.9052,0.9097,0.9052,0.8999,0.9088,LM1,TR3,EN2,TR3,BASE-HGB,BASE-HGB-TUNED
647_fri_c1_250_10,regression,friedman,0.8583,0.8583,0.1895,0.8494,0.8494,0.8494,0.8505,0.848,LM1,TR3,TR3,TR3,BASE-HGB,BASE-HGB-TUNED
648_fri_c1_250_50,regression,friedman,0.8379,0.8414,0.1869,0.7833,0.7833,0.7833,0.8414,0.8305,LM1,TR3,TR3,TR3,BASE-HGB,BASE-HGB-TUNED
649_fri_c0_500_5,regression,friedman,0.9258,0.9258,0.7122,0.8475,0.8475,0.8475,0.8957,0.9022,LM1,TR3,TR3,TR3,BASE-HGB,BASE-HGB-TUNED
650_fri_c0_500_50,regression,friedman,0.8566,0.8578,0.7212,0.776,0.8566,0.776,0.845,0.8578,LM1,TR3,EN2,TR3,BASE-HGB,BASE-HGB-TUNED
653_fri_c0_250_25,regression,friedman,0.7957,0.8152,0.6761,0.7382,0.7382,0.7382,0.7911,0.8152,LM1,TR3,TR3,TR3,BASE-HGB,BASE-HGB-TUNED
654_fri_c0_500_10,regression,friedman,0.8797,0.8797,0.6713,0.7965,0.8621,0.7965,0.8714,0.8786,LM1,TR3,EN2,TR3,BASE-HGB,BASE-HGB-TUNED
657_fri_c2_250_10,regression,friedman,0.8807,0.8807,0.1911,0.8807,0.8807,0.8807,0.8574,0.8661,LM1,TR3,TR3,TR3,BASE-HGB,BASE-HGB-TUNED
658_fri_c3_250_25,regression,friedman,0.8012,0.8012,0.0872,0.762,0.762,0.762,0.7578,0.7943,LM1,TR3,TR3,TR3,BASE-HGB,BASE-HGB-TUNED
666_rmftsa_ladata,regression,666_rmftsa_ladata,0.616,0.616,0.5449,0.5438,0.5741,0.5438,0.4509,0.5302,LM1,EN2,TR3,EN2,BASE-HGB,BASE-HGB-TUNED
690_visualizing_galaxy,regression,690_visualizing_galaxy,0.9729,0.9748,0.8913,0.9718,0.9729,0.9729,0.968,0.9748,LM1,EN2,TR3,TR3,BASE-HGB,BASE-HGB-TUNED
