dataset,task,rows,features,subsampled,signature,flags,model,model_name,eligible,ruled_out_why,recommended_rank,score,score_std,seconds,status,detail
collins,classification,485,23,False,A11 A21 A38 A41 A51 A61,A54,NN1,Perceptron,True,,19,0.5034890109890109,0.042450944517252696,0.11,ok,
collins,classification,485,23,False,A11 A21 A38 A41 A51 A61,A54,NN2,MLP (Feedforward),True,,9,0.6447680097680097,0.03258272328884957,3.48,ok,
collins,classification,485,23,False,A11 A21 A38 A41 A51 A61,A54,EN3,XGBoost,True,,12,0.9774358974358975,0.023014159663914745,0.71,ok,
collins,classification,485,23,False,A11 A21 A38 A41 A51 A61,A54,EN4,LightGBM,True,,13,0.9846794871794872,0.019944449480714083,1.18,ok,
collins,classification,485,23,False,A11 A21 A38 A41 A51 A61,A54,BASE-HGB,Histogram Gradient Boosting (baseline),False,,,0.967887667887668,0.018339096911151688,3.35,ok,
breast_cancer_wisconsin_diagnostic,classification,569,30,False,A11 A21 A31 A41 A51 A61,A54,LM2,Logistic Regression,True,,1,0.9746783023723739,0.017354723118345582,0.07,ok,
breast_cancer_wisconsin_diagnostic,classification,569,30,False,A11 A21 A31 A41 A51 A61,A54,TR1,Decision Tree,True,,5,0.9209828739881146,0.02249105161396265,0.08,ok,
breast_cancer_wisconsin_diagnostic,classification,569,30,False,A11 A21 A31 A41 A51 A61,A54,TR2,Random Forest,True,,6,0.9571039284804433,0.019151641181859018,1.77,ok,
breast_cancer_wisconsin_diagnostic,classification,569,30,False,A11 A21 A31 A41 A51 A61,A54,TR3,Extra Trees,True,,7,0.96321891296097,0.008269019214915747,1.48,ok,
breast_cancer_wisconsin_diagnostic,classification,569,30,False,A11 A21 A31 A41 A51 A61,A54,EN1,AdaBoost,True,,8,0.9673888940880424,0.013713329311702743,0.76,ok,
breast_cancer_wisconsin_diagnostic,classification,569,30,False,A11 A21 A31 A41 A51 A61,A54,EN2,Gradient Boosting (GBM),True,,9,0.9613940750445827,0.019859491972799508,2.06,ok,
breast_cancer_wisconsin_diagnostic,classification,569,30,False,A11 A21 A31 A41 A51 A61,A54,EN6,Stacking,True,,13,0.967971394257015,0.018242877422547536,0.71,ok,
breast_cancer_wisconsin_diagnostic,classification,569,30,False,A11 A21 A31 A41 A51 A61,A54,EN7,Voting Ensemble,True,,14,0.9594200864099325,0.018703374166863726,0.2,ok,
breast_cancer_wisconsin_diagnostic,classification,569,30,False,A11 A21 A31 A41 A51 A61,A54,SV1,SVM (linear),True,,15,0.966286283593031,0.014374132459379749,0.06,ok,
breast_cancer_wisconsin_diagnostic,classification,569,30,False,A11 A21 A31 A41 A51 A61,A54,SV2,Kernel SVM (RBF/Poly),True,,16,0.9741707350043413,0.009880400862424593,0.07,ok,
breast_cancer_wisconsin_diagnostic,classification,569,30,False,A11 A21 A31 A41 A51 A61,A54,PR1,Naive Bayes,True,,2,0.9278658384415017,0.0282382483444735,0.05,ok,
breast_cancer_wisconsin_diagnostic,classification,569,30,False,A11 A21 A31 A41 A51 A61,A54,IB1,k-Nearest Neighbors,True,,3,0.9557805489266347,0.027242489275560472,0.06,ok,
breast_cancer_wisconsin_diagnostic,classification,569,30,False,A11 A21 A31 A41 A51 A61,A54,DR4,LDA (Linear Discriminant Analysis),True,,17,0.9405581421344605,0.01601482696436797,0.07,ok,
breast_cancer_wisconsin_diagnostic,classification,569,30,False,A11 A21 A31 A41 A51 A61,A54,NN1,Perceptron,True,,4,0.9637750274255351,0.008419355011292479,0.06,ok,
breast_cancer_wisconsin_diagnostic,classification,569,30,False,A11 A21 A31 A41 A51 A61,A54,NN2,MLP (Feedforward),True,,18,0.9732340424978814,0.015487005567044085,1.8,ok,
