dataset,task,condition,first,signature,flags,numeric
collins,classification,labels_10,EN4,A11 A21 A38 A41 A51 A61,A54,22
collins,classification,missing_10,EN4,A11 A21 A38 A41 A51 A62,A54,22
collins,classification,missing_30,EN4,A11 A21 A38 A41 A51 A62,A54,22
credit_approval_australia,classification,clean,EN4,A11 A21 A38 A41 A51 A62,A54,6
credit_approval_australia,classification,dirty_5,EN4,A11 A21 A38 A41 A51 A64,A54,6
credit_approval_australia,classification,labels_10,EN4,A11 A21 A38 A41 A51 A62,A54,6
credit_approval_australia,classification,missing_10,EN4,A11 A21 A38 A41 A51 A62,A54,6
credit_approval_australia,classification,missing_30,EN4,A11 A21 A38 A41 A51 A62,A54,6
heart_disease_va_long_beach,classification,clean,EN4,A11 A21 A38 A41 A51 A62,A54,6
heart_disease_va_long_beach,classification,dirty_5,EN4,A11 A21 A38 A41 A51 A64,A54,6
heart_disease_va_long_beach,classification,labels_10,EN4,A11 A21 A38 A41 A51 A62,A54,6
heart_disease_va_long_beach,classification,missing_10,EN4,A11 A21 A38 A41 A51 A62,A54,6
heart_disease_va_long_beach,classification,missing_30,EN4,A11 A21 A38 A43 A51 A62,A54,6
letter,classification,clean,EN4,A11 A21 A31 A41 A53 A61,,16
letter,classification,dirty_5,EN4,A11 A21 A31 A41 A53 A64,,16
letter,classification,labels_10,EN4,A11 A21 A31 A41 A53 A61,,16
letter,classification,missing_10,EN4,A11 A21 A31 A41 A53 A62,,16
letter,classification,missing_30,EN4,A11 A21 A31 A41 A53 A62,,16
mfeat_zernike,classification,clean,EN4,A11 A21 A31 A41 A51 A61,A54,47
mfeat_zernike,classification,dirty_5,EN4,A11 A21 A31 A41 A51 A64,A54,47
mfeat_zernike,classification,labels_10,EN4,A11 A21 A31 A41 A51 A61,A54,47
mfeat_zernike,classification,missing_10,EN4,A11 A21 A31 A41 A51 A62,A54,47
mfeat_zernike,classification,missing_30,EN4,A11 A21 A31 A41 A51 A62,A54,47
movement_libras,classification,clean,EN4,A11 A21 A31 A42 A51 A61,A54,90
movement_libras,classification,dirty_5,EN4,A11 A21 A31 A42 A51 A64,A54,90
movement_libras,classification,labels_10,EN4,A11 A21 A31 A42 A51 A61,A54,90
movement_libras,classification,missing_10,EN4,A11 A21 A31 A42 A51 A62,A54,90
movement_libras,classification,missing_30,EN4,A11 A21 A31 A42 A51 A62,A54,90
nikuradse_1,regression,clean,EN2,A11 A21 A31 A41 A54 A61,,2
nikuradse_1,regression,dirty_5,EN2,A11 A21 A31 A41 A54 A64,,2
nikuradse_1,regression,labels_10,EN2,A11 A21 A31 A41 A54 A61,,2
nikuradse_1,regression,missing_10,EN2,A11 A21 A31 A41 A54 A62,,2
nikuradse_1,regression,missing_30,EN2,A11 A21 A31 A41 A54 A62,,2
parity5+5,classification,clean,EN4,A11 A21 A32 A41 A51 A61,A53,0
parity5+5,classification,dirty_5,EN4,A11 A21 A32 A41 A51 A61,A53,0
parity5+5,classification,labels_10,EN4,A11 A21 A32 A41 A51 A61,A53,0
parity5+5,classification,missing_10,EN4,A11 A21 A32 A41 A51 A62,A53,0
parity5+5,classification,missing_30,EN4,A11 A21 A32 A41 A51 A62,A53,0
satimage,classification,clean,EN4,A11 A21 A31 A41 A51 A61,A53,36
satimage,classification,dirty_5,EN4,A11 A21 A31 A41 A51 A64,A53,36
satimage,classification,labels_10,EN4,A11 A21 A31 A41 A51 A61,A53,36
satimage,classification,missing_10,EN4,A11 A21 A31 A41 A51 A62,A53,36
satimage,classification,missing_30,EN4,A11 A21 A31 A41 A51 A62,A53,36
schizo,classification,clean,EN4,A11 A21 A38 A41 A51 A61,A54,12
schizo,classification,dirty_5,EN4,A11 A21 A38 A41 A51 A64,A54,12
schizo,classification,labels_10,EN4,A11 A21 A38 A41 A51 A61,A54,12
schizo,classification,missing_10,EN4,A11 A21 A38 A41 A51 A62,A54,12
schizo,classification,missing_30,EN4,A11 A21 A38 A41 A51 A62,A54,12
spambase,classification,clean,EN4,A11 A21 A31 A43 A51 A61,A54,57
spambase,classification,dirty_5,EN4,A11 A21 A31 A43 A51 A64,A54,57
spambase,classification,labels_10,EN4,A11 A21 A31 A43 A51 A61,A54,57
spambase,classification,missing_10,EN4,A11 A21 A31 A43 A51 A62,A54,57
spambase,classification,missing_30,EN4,A11 A21 A31 A43 A51 A62,A54,57
splice,classification,clean,EN4,A11 A21 A32 A41 A51 A61,A53,0
splice,classification,dirty_5,EN4,A11 A21 A32 A41 A51 A61,A53,0
splice,classification,labels_10,EN4,A11 A21 A32 A41 A51 A61,A53,0
splice,classification,missing_10,EN4,A11 A21 A32 A41 A51 A62,A53,0
splice,classification,missing_30,EN4,A11 A21 A32 A41 A51 A62,A53,0
strogatz_glider2,regression,clean,EN2,A11 A21 A31 A41 A54 A61,,2
strogatz_glider2,regression,dirty_5,EN2,A11 A21 A31 A41 A54 A64,,2
strogatz_glider2,regression,labels_10,EN2,A11 A21 A31 A41 A54 A61,,2
strogatz_glider2,regression,missing_10,EN2,A11 A21 A31 A41 A54 A62,,2
strogatz_glider2,regression,missing_30,EN2,A11 A21 A31 A41 A54 A62,,2
strogatz_vdp2,regression,clean,EN2,A11 A21 A31 A41 A53 A61,,2
strogatz_vdp2,regression,dirty_5,EN2,A11 A21 A31 A41 A53 A64,,2
strogatz_vdp2,regression,labels_10,EN2,A11 A21 A31 A41 A53 A61,,2
strogatz_vdp2,regression,missing_10,EN2,A11 A21 A31 A41 A53 A62,,2
strogatz_vdp2,regression,missing_30,EN2,A11 A21 A31 A41 A53 A62,,2
tic_tac_toe,classification,clean,EN4,A11 A21 A32 A41 A51 A61,A53,0
tic_tac_toe,classification,dirty_5,EN4,A11 A21 A32 A41 A51 A61,A53,0
tic_tac_toe,classification,labels_10,EN4,A11 A21 A32 A41 A51 A61,A53,0
tic_tac_toe,classification,missing_10,EN4,A11 A21 A32 A41 A51 A62,A53,0
tic_tac_toe,classification,missing_30,EN4,A11 A21 A32 A41 A51 A62,A53,0
yeast,classification,clean,EN4,A11 A21 A31 A41 A51 A61,A53,8
yeast,classification,dirty_5,EN4,A11 A21 A31 A41 A51 A64,A53,8
yeast,classification,labels_10,EN4,A11 A21 A31 A41 A51 A61,A53,8
yeast,classification,missing_10,EN4,A11 A21 A31 A41 A51 A62,A53,8
yeast,classification,missing_30,EN4,A11 A21 A31 A41 A51 A62,A53,8
