dataset,rep,scenario,checker,sees,fired,statistic,seconds
allbp,1,none,DR-C2,errors,0,,0.0004
allbp,1,none,DR-C3,errors,0,,0.0006
allbp,1,none,DR-C4,errors,0,,0.0003
allbp,1,none,DR-C5,errors,0,,0.3938
allbp,1,none,DR-C6,errors,0,,0.021
allbp,1,none,DR-C7,errors,0,,0.0077
allbp,1,none,DR-C9,errors,0,,0.0005
allbp,1,none,DR-MV1,joint,0,24.765113,0.0009
allbp,1,none,DR-MV2,joint,0,0.016,0.0029
allbp,1,none,DR-CV1,joint,0,0.50206,0.9373
allbp,1,shift,DR-M1,features,1,0.0,0.0185
allbp,1,shift,DR-M2,features,1,0.487833,0.0056
allbp,1,shift,DR-M3,features,1,0.0,0.0216
allbp,1,shift,DR-M4,features,1,0.256729,0.0895
allbp,1,shift,DR-M5,features,0,0.08358,0.0056
allbp,1,shift,DR-M6,features,1,0.327675,0.0606
allbp,1,shift,DR-M7,features,1,0.00032,0.0205
allbp,1,shift,DR-M8,errors,1,0.014,0.0001
allbp,1,shift,DR-M10,joint,1,0.005995,0.1185
allbp,1,shift,DR-M12,features,1,0.0,1.2024
allbp,1,shift,DR-M13,features,1,0.0,0.0082
allbp,1,shift,DR-M14,joint,1,0.05419,0.1275
allbp,1,shift,DR-C1,errors,0,,0.0008
allbp,1,shift,DR-C2,errors,0,,0.0003
allbp,1,shift,DR-C3,errors,0,,0.0006
allbp,1,shift,DR-C4,errors,0,,0.0003
allbp,1,shift,DR-C5,errors,0,,0.3834
allbp,1,shift,DR-C6,errors,0,,0.02
allbp,1,shift,DR-C7,errors,0,,0.0075
allbp,1,shift,DR-C9,errors,0,,0.0005
allbp,1,shift,DR-MV1,joint,1,133.32988,0.0009
allbp,1,shift,DR-MV2,joint,0,0.032,0.0032
allbp,1,shift,DR-CV1,joint,1,0.76472,0.8508
allbp,1,scale,DR-M1,features,1,0.000567,0.017
allbp,1,scale,DR-M2,features,0,0.240286,0.0048
allbp,1,scale,DR-M3,features,1,1.1e-05,0.0202
allbp,1,scale,DR-M4,features,1,0.120475,0.0842
allbp,1,scale,DR-M5,features,0,0.04273,0.0055
allbp,1,scale,DR-M6,features,1,0.338084,0.0555
allbp,1,scale,DR-M7,features,0,0.015917,0.0167
allbp,1,scale,DR-M8,errors,1,0.01,0.0
allbp,1,scale,DR-M10,joint,0,0.002447,0.1117
allbp,1,scale,DR-M12,features,1,0.001784,1.2115
allbp,1,scale,DR-M13,features,1,0.0,0.009
allbp,1,scale,DR-M14,joint,0,0.034345,0.1093
allbp,1,scale,DR-C1,errors,0,,0.0008
allbp,1,scale,DR-C2,errors,0,,0.0003
allbp,1,scale,DR-C3,errors,0,,0.0006
allbp,1,scale,DR-C4,errors,0,,0.0003
allbp,1,scale,DR-C5,errors,0,,0.3879
allbp,1,scale,DR-C6,errors,0,,0.0201
allbp,1,scale,DR-C7,errors,0,,0.0077
allbp,1,scale,DR-C9,errors,0,,0.0005
allbp,1,scale,DR-MV1,joint,1,69.486784,0.001
allbp,1,scale,DR-MV2,joint,0,0.032,0.0033
allbp,1,scale,DR-CV1,joint,1,0.6914,0.895
allbp,1,correlation,DR-M1,features,0,0.13174,0.0176
allbp,1,correlation,DR-M2,features,0,0.087135,0.0048
allbp,1,correlation,DR-M3,features,0,0.057774,0.0211
allbp,1,correlation,DR-M4,features,0,0.042725,0.0904
allbp,1,correlation,DR-M5,features,0,0.015556,0.0055
allbp,1,correlation,DR-M6,features,0,0.145459,0.0567
allbp,1,correlation,DR-M7,features,0,0.037474,0.0171
allbp,1,correlation,DR-M8,errors,1,0.014,0.0
allbp,1,correlation,DR-M10,joint,0,0.005255,0.1144
allbp,1,correlation,DR-M12,features,0,0.03948,1.4632
allbp,1,correlation,DR-M13,features,0,0.005841,0.0082
allbp,1,correlation,DR-M14,joint,0,0.047209,0.1056
allbp,1,correlation,DR-C1,errors,0,,0.0008
allbp,1,correlation,DR-C2,errors,0,,0.0003
allbp,1,correlation,DR-C3,errors,0,,0.0006
allbp,1,correlation,DR-C4,errors,0,,0.0003
allbp,1,correlation,DR-C5,errors,0,,0.4164
allbp,1,correlation,DR-C6,errors,0,,0.0207
allbp,1,correlation,DR-C7,errors,0,,0.0078
allbp,1,correlation,DR-C9,errors,0,,0.0005
allbp,1,correlation,DR-MV1,joint,0,18.556577,0.001
allbp,1,correlation,DR-MV2,joint,0,0.032,0.0035
allbp,1,correlation,DR-CV1,joint,1,0.61986,0.8647
allbp,1,selection,DR-M1,features,1,1e-06,0.0204
