dataset,task,condition,best_column,best_score,flags,caught
645_fri_c3_500_50,regression,id_code,oz4,0.4977,id:extra,1
645_fri_c3_500_50,regression,copies_2,oz4,0.4864,duplicates:,1
646_fri_c3_500_10,regression,clean,oz4,0.4427,,
647_fri_c1_250_10,regression,clean,oz1,0.473,,
648_fri_c1_250_50,regression,clean,oz4,0.4166,,
649_fri_c0_500_5,regression,clean,oz4,0.6048,,
650_fri_c0_500_50,regression,clean,oz4,0.588,,
653_fri_c0_250_25,regression,clean,oz4,0.5414,,
653_fri_c0_250_25,regression,leak,extra,1.0,leak:extra,1
653_fri_c0_250_25,regression,leak_1,extra,0.9989,leak:extra,1
653_fri_c0_250_25,regression,leak_5,extra,0.9393,,0
653_fri_c0_250_25,regression,id_run,oz4,0.5414,id:extra,1
653_fri_c0_250_25,regression,id_code,oz4,0.5414,id:extra,1
653_fri_c0_250_25,regression,copies_2,oz4,0.5389,duplicates:,1
654_fri_c0_500_10,regression,clean,oz4,0.5566,,
657_fri_c2_250_10,regression,clean,oz2,0.563,,
658_fri_c3_250_25,regression,clean,oz4,0.4164,,
666_rmftsa_ladata,regression,clean,Total_Mortality,0.5941,,
690_visualizing_galaxy,regression,clean,northsouth,0.9154,,
695_chatfield_4,regression,clean,col_12,0.9336,id:col_1,
695_chatfield_4,regression,leak,extra,1.0,id:col_1;leak:extra,1
695_chatfield_4,regression,leak_1,extra,0.9998,id:col_1;leak:extra,1
695_chatfield_4,regression,leak_5,extra,0.9766,id:col_1,0
695_chatfield_4,regression,id_run,col_12,0.9336,id:extra;id:col_1,1
695_chatfield_4,regression,id_code,col_12,0.9336,id:extra;id:col_1,1
695_chatfield_4,regression,copies_2,col_12,0.9355,id:col_1;duplicates:,1
712_chscase_geyser1,regression,clean,col_2,0.763,,
Hill_Valley_with_noise,classification,clean,X17,0.538,,
Hill_Valley_without_noise,classification,clean,X49,0.5153,,
agaricus_lepiota,classification,clean,odor,0.9854,,
agaricus_lepiota,classification,leak,extra,1.0,leak:extra,1
agaricus_lepiota,classification,leak_1,extra,0.99,leak:extra,1
agaricus_lepiota,classification,leak_5,odor,0.9854,,0
agaricus_lepiota,classification,id_run,odor,0.9854,id:extra,1
agaricus_lepiota,classification,id_code,odor,0.9854,id:extra,1
agaricus_lepiota,classification,copies_2,odor,0.9858,,0
allbp,classification,clean,T4U,0.4674,duplicates:,
allhyper,classification,clean,T3,0.2801,duplicates:,
allhypo,classification,clean,TSH,0.4409,duplicates:,
allhypo,classification,leak,extra,1.0,leak:extra;duplicates:,1
allhypo,classification,leak_1,extra,0.9947,leak:extra;duplicates:,1
allhypo,classification,leak_5,extra,0.9406,duplicates:,0
allhypo,classification,id_run,TSH,0.4409,id:extra,1
allhypo,classification,id_code,TSH,0.4409,id:extra,1
allhypo,classification,copies_2,TSH,0.4616,duplicates:,1
allrep,classification,clean,age,0.25,duplicates:,
analcatdata_authorship,classification,clean,it,0.5458,,
analcatdata_dmft,classification,clean,Ethnic,0.203,,
analcatdata_germangss,classification,clean,Count,0.3675,,
analcatdata_lawsuit,classification,clean,CAP,0.8723,,
ann_thyroid,classification,clean,A17,0.852,,
auto_insurance_price,regression,clean,curb_weight,0.9138,,
balance_scale,classification,clean,Left-Weight,0.4595,,
banana,classification,clean,At2,0.676,,
banana,classification,leak,extra,1.0,leak:extra,1
banana,classification,leak_1,extra,0.99,,0
banana,classification,leak_5,extra,0.9497,,0
banana,classification,id_run,At2,0.676,id:extra,1
banana,classification,id_code,At2,0.676,id:extra,1
banana,classification,copies_2,At2,0.6804,duplicates:,1
biomed,classification,clean,Age_of_patient,0.7662,,
biomed,classification,leak,extra,1.0,leak:extra,1
biomed,classification,leak_1,extra,0.9925,leak:extra,1
biomed,classification,leak_5,extra,0.948,,0
biomed,classification,id_run,Age_of_patient,0.7662,id:extra,1
biomed,classification,id_code,Age_of_patient,0.7662,id:extra,1
biomed,classification,copies_2,Hospital_identification_number_for_blood_sample,0.7691,duplicates:,1
breast_cancer,classification,clean,deg-malig,0.6652,,
breast_cancer,classification,leak,extra,1.0,leak:extra,1
breast_cancer,classification,leak_1,extra,0.9891,,0
breast_cancer,classification,leak_5,extra,0.9584,,0
breast_cancer,classification,id_run,deg-malig,0.6652,id:extra,1
breast_cancer,classification,id_code,deg-malig,0.6652,id:extra,1
breast_cancer,classification,copies_2,deg-malig,0.6704,,0
breast_cancer_wisconsin_diagnostic,classification,clean,radius_worst,0.9034,,
breast_cancer_wisconsin_diagnostic,classification,leak,extra,1.0,leak:extra,1
breast_cancer_wisconsin_diagnostic,classification,leak_1,extra,0.9916,leak:extra,1
breast_cancer_wisconsin_diagnostic,classification,leak_5,extra,0.9531,,0
breast_cancer_wisconsin_diagnostic,classification,id_run,radius_worst,0.9034,id:extra,1
breast_cancer_wisconsin_diagnostic,classification,id_code,radius_worst,0.9034,id:extra,1
breast_cancer_wisconsin_diagnostic,classification,copies_2,perimeter_worst,0.8995,duplicates:,1
breast_cancer_wisconsin_original,classification,clean,cell_shape_uniformity,0.9096,,
bupa,classification,clean,Sgot,0.5496,duplicates:,
calendarDOW,classification,clean,Feature19,0.469,duplicates:,
car_evaluation,classification,clean,buying_price,0.25,,
cars,classification,clean,brand,0.9909,leak:brand,
cars,classification,leak,extra,1.0,leak:extra;leak:brand,1
cars,classification,leak_1,extra,0.9946,leak:extra;leak:brand,1
cars,classification,leak_5,brand,0.9909,leak:brand,0
cars,classification,id_run,brand,0.9909,id:extra;leak:brand,1
cars,classification,id_code,brand,0.9909,id:extra;leak:brand,1
cars,classification,copies_2,brand,0.991,leak:brand;duplicates:,1
chess,classification,clean,A32,0.6774,,
churn,classification,clean,total day minutes,0.5922,id:phone number,
coil2000,classification,clean,PGEZONG,0.5041,,
collins,classification,clean,Genre,1.0,id:Text;id:Counter;leak:Genre,
collins,classification,leak,Genre,1.0,id:Text;id:Counter;leak:Genre;leak:extra,1
collins,classification,leak_1,Genre,1.0,id:Text;id:Counter;leak:Genre,0
collins,classification,leak_5,Genre,1.0,id:Text;id:Counter;leak:Genre,0
collins,classification,id_run,Genre,1.0,id:extra;id:Text;id:Counter;leak:Genre,1
collins,classification,id_code,Genre,1.0,id:extra;id:Text;id:Counter;leak:Genre,1
collins,classification,copies_2,Genre,1.0,id:Text;id:Counter;leak:Genre;duplicates:,1
congressional_voting_records,classification,clean,physician_fee_freeze,0.9589,,
contraceptive_method,classification,clean,number_of_children,0.4088,,
credit_approval_australia,classification,clean,attribute_9,0.862,,
credit_approval_australia,classification,leak,extra,1.0,leak:extra,1
credit_approval_australia,classification,leak_1,extra,0.9902,leak:extra,1
credit_approval_australia,classification,leak_5,extra,0.9488,,0
credit_approval_australia,classification,id_run,attribute_9,0.862,id:extra,1
credit_approval_australia,classification,id_code,attribute_9,0.862,id:extra,1
credit_approval_australia,classification,copies_2,attribute_9,0.8626,duplicates:,1
credit_approval_germany,classification,clean,credit_history,0.5626,,
dermatology,classification,clean,spongiosis,0.3368,,
dis,classification,clean,age,0.5,duplicates:,
ecoli,classification,clean,alm1,0.5047,,
first_principles_supernovae_zg,regression,clean,Xaxis0,0.9823,,
first_principles_supernovae_zr,regression,clean,Xaxis0,0.8891,,
haberman,classification,clean,Number_of_positive_axillary_nodes_detected,0.5654,,
heart_disease_cleveland,classification,clean,chest_pain_type,0.7588,,
heart_disease_hungarian,classification,clean,exercise_st_slope,0.7891,,
heart_disease_va_long_beach,classification,clean,chest_pain_type,0.5712,,
heart_disease_va_long_beach,classification,leak,extra,1.0,leak:extra,1
heart_disease_va_long_beach,classification,leak_1,extra,0.9868,,0
heart_disease_va_long_beach,classification,leak_5,extra,0.9407,,0
heart_disease_va_long_beach,classification,id_run,chest_pain_type,0.5712,id:extra,1
heart_disease_va_long_beach,classification,id_code,chest_pain_type,0.5712,id:extra,1
heart_disease_va_long_beach,classification,copies_2,chest_pain_type,0.5678,duplicates:,1
horse_colic_lesion_type,classification,clean,pain,0.2684,duplicates:,
horse_colic_outcome,classification,clean,abdominocentesis_protein,0.4548,duplicates:,
horse_colic_surgery,classification,clean,rectal_examination,0.6671,duplicates:,
hypothyroid,classification,clean,FTI,0.5811,duplicates:,
ionosphere,classification,clean,28,0.8167,,
irish,classification,clean,Educational_level,1.0,leak:Educational_level;duplicates:,
kr_vs_kp,classification,clean,c33,0.6774,,
led24,classification,clean,attribute#2,0.1848,,
led7,classification,clean,attribute#7,0.1834,,
letter,classification,clean,x-ege,0.1636,,
letter,classification,leak,extra,1.0,leak:extra,1
letter,classification,leak_1,extra,0.9898,,0
letter,classification,leak_5,extra,0.9502,,0
letter,classification,id_run,x-ege,0.1636,id:extra,1
letter,classification,id_code,x-ege,0.1636,id:extra,1
letter,classification,copies_2,x-ege,0.1683,,0
magic,classification,clean,FAlpha,0.7043,,
mfeat_fourier,classification,clean,att73,0.4005,,
mfeat_karhunen,classification,clean,att1,0.3155,,
mfeat_morphological,classification,clean,att6,0.485,,
mfeat_zernike,classification,clean,att6,0.2965,,
mfeat_zernike,classification,leak,extra,1.0,leak:extra,1
mfeat_zernike,classification,leak_1,extra,0.99,leak:extra,1
mfeat_zernike,classification,leak_5,extra,0.95,,0
mfeat_zernike,classification,id_run,att6,0.2965,id:extra,1
mfeat_zernike,classification,id_code,att6,0.2965,id:extra,1
mfeat_zernike,classification,copies_2,att6,0.2808,duplicates:,1
mofn_3_7_10,classification,clean,Bit-0,0.5,,
monk1,classification,clean,Jacket color,0.7464,,
monk2,classification,clean,attribute#1,0.5,,
monk3,classification,clean,Body shape,0.7935,,
movement_libras,classification,clean,5st_coordinate_ordinate,0.2278,duplicates:,
movement_libras,classification,leak,extra,1.0,leak:extra;duplicates:,1
movement_libras,classification,leak_1,extra,0.9889,duplicates:,0
movement_libras,classification,leak_5,extra,0.95,duplicates:,0
movement_libras,classification,id_run,5st_coordinate_ordinate,0.2278,id:extra,1
movement_libras,classification,id_code,5st_coordinate_ordinate,0.2278,id:extra,1
movement_libras,classification,copies_2,5st_coordinate_ordinate,0.1997,duplicates:,1
mushroom,classification,clean,odor,0.9841,,
new_thyroid,classification,clean,3,0.8581,,
nikuradse_1,regression,clean,r_k,0.9662,,
nikuradse_1,regression,leak,extra,1.0,leak:extra,1
nikuradse_1,regression,leak_1,extra,0.9965,leak:extra,1
nikuradse_1,regression,leak_5,r_k,0.9662,,0
nikuradse_1,regression,id_run,r_k,0.9662,id:extra,1
nikuradse_1,regression,id_code,r_k,0.9662,id:extra,1
nikuradse_1,regression,copies_2,r_k,0.9665,duplicates:,1
nikuradse_2,regression,clean,log_v_k_nu,0.9509,,
nursery,classification,clean,health,0.5414,,
optdigits,classification,clean,input29,0.2723,,
page_blocks,classification,clean,eccen,0.4634,duplicates:,
parity5+5,classification,clean,Bit 10,0.48,,
parity5+5,classification,leak,extra,1.0,leak:extra,1
parity5+5,classification,leak_1,extra,0.9902,leak:extra,1
parity5+5,classification,leak_5,extra,0.9503,,0
parity5+5,classification,id_run,Bit 10,0.48,id:extra,1
parity5+5,classification,id_code,Bit 10,0.48,id:extra,1
parity5+5,classification,copies_2,Bit 10,0.4995,,0
pendigits,classification,clean,input16,0.3824,,
penguins,classification,clean,island,0.7807,,
phoneme,classification,clean,Iy,0.7245,,
prnn_crabs,classification,clean,FL,0.72,,
prnn_synth,classification,clean,ys,0.816,,
profb,classification,clean,Pointspread,0.5246,,
ring,classification,clean,A3,0.6549,,
saheart,classification,clean,Age,0.622,,
satimage,classification,clean,A18,0.5978,,
satimage,classification,leak,extra,1.0,leak:extra,1
satimage,classification,leak_1,extra,0.9895,,0
satimage,classification,leak_5,extra,0.9466,,0
satimage,classification,id_run,A18,0.5978,id:extra,1
satimage,classification,id_code,A18,0.5978,id:extra,1
satimage,classification,copies_2,A18,0.6297,duplicates:,1
schizo,classification,clean,gain_ratio_7,0.3784,,
schizo,classification,leak,extra,1.0,leak:extra,1
schizo,classification,leak_1,extra,0.995,leak:extra,1
schizo,classification,leak_5,extra,0.949,,0
schizo,classification,id_run,gain_ratio_7,0.3784,id:extra,1
schizo,classification,id_code,gain_ratio_7,0.3784,id:extra,1
schizo,classification,copies_2,gain_ratio_2,0.4187,duplicates:,1
segmentation,classification,clean,rawred-mean,0.6212,duplicates:,
solar_flare,regression,clean,sunspot_group_configuration,0.1004,,
sonar,classification,clean,A12,0.6535,,
