dataset,task,rows,features,subsampled,signature,flags,model,model_name,eligible,ruled_out_why,recommended_rank,score,score_std,seconds,status,detail,seed
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,NN1,Perceptron,True,,17,0.8321652421652421,0.030496096991604254,0.1,ok,,2
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,NN2,MLP (Feedforward),True,,5,0.8731908831908832,0.06638876013192999,2.43,ok,,0
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,NN2,MLP (Feedforward),True,,5,0.8976353276353276,0.03322548115452495,2.36,ok,,1
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,NN2,MLP (Feedforward),True,,5,0.8766096866096866,0.08135429277895356,2.21,ok,,2
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,EN3,XGBoost,True,,4,0.8800000000000001,0.07534465845897134,0.25,ok,,0
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,EN3,XGBoost,True,,4,0.8863817663817665,0.03060067793771316,0.24,ok,,1
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,EN3,XGBoost,True,,4,0.8767521367521368,0.035286070576513756,0.22,ok,,2
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,EN4,LightGBM,True,,2,0.8962962962962961,0.0758671859500407,0.18,ok,,0
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,EN4,LightGBM,True,,2,0.9174928774928774,0.03363879809485979,0.18,ok,,1
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,EN4,LightGBM,True,,2,0.8909686609686611,0.05150061055046555,0.18,ok,,2
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,BASE-HGB,Histogram Gradient Boosting (baseline),False,,,0.8820797720797721,0.0632451938555294,0.48,ok,,0
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,BASE-HGB,Histogram Gradient Boosting (baseline),False,,,0.9080056980056981,0.041512464557023177,0.53,ok,,1
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,BASE-HGB,Histogram Gradient Boosting (baseline),False,,,0.8814814814814815,0.04517911313178343,0.5,ok,,2
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,LM2,Logistic Regression,True,,10,0.6325358680057389,0.033346424171577724,0.15,ok,,0
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,LM2,Logistic Regression,True,,10,0.630157819225251,0.04695211223069594,0.13,ok,,1
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,LM2,Logistic Regression,True,,10,0.6257711621233859,0.05761093133132229,0.13,ok,,2
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,TR1,Decision Tree,True,,13,0.6235868005738882,0.05022674647103026,0.11,ok,,0
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,TR1,Decision Tree,True,,13,0.5754878048780487,0.059616049733581165,0.12,ok,,1
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,TR1,Decision Tree,True,,13,0.5754268292682927,0.044577538205808294,0.13,ok,,2
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,TR2,Random Forest,True,,3,0.6297274031563844,0.016117433554334485,2.47,ok,,0
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,TR2,Random Forest,True,,3,0.6595086083213773,0.05054788397059323,2.47,ok,,1
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,TR2,Random Forest,True,,3,0.6236872309899569,0.030268798166475167,2.48,ok,,2
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,TR3,Extra Trees,True,,1,0.6241140602582496,0.02027901234310048,2.12,ok,,0
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,TR3,Extra Trees,True,,1,0.6428299856527977,0.045121317394895555,2.0,ok,,1
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,TR3,Extra Trees,True,,1,0.615573888091822,0.04054355478070282,1.95,ok,,2
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,EN1,AdaBoost,True,,15,0.6276829268292683,0.03449581205751087,0.58,ok,,0
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,EN1,AdaBoost,True,,15,0.6143974175035869,0.05712168530340484,0.57,ok,,1
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,EN1,AdaBoost,True,,15,0.6420086083213774,0.05627252374862899,0.55,ok,,2
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,EN2,Gradient Boosting (GBM),True,,7,0.6029017216642754,0.04022386379427789,0.71,ok,,0
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,EN2,Gradient Boosting (GBM),True,,7,0.6172274031563845,0.08086665268316866,0.66,ok,,1
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,EN2,Gradient Boosting (GBM),True,,7,0.5902187948350072,0.03587955266072894,0.74,ok,,2
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,EN6,Stacking,True,,6,0.5683572453371591,0.03578460281749267,0.82,ok,,0
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,EN6,Stacking,True,,6,0.5674139167862268,0.025856419150794268,1.05,ok,,1
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,EN6,Stacking,True,,6,0.5809433285509327,0.008003112629302167,0.98,ok,,2
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,EN7,Voting Ensemble,True,,8,0.6099497847919656,0.018717379167755777,0.24,ok,,0
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,EN7,Voting Ensemble,True,,8,0.6149497847919656,0.07565214656095715,0.23,ok,,1
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,EN7,Voting Ensemble,True,,8,0.5921197991391678,0.03907246365120212,0.2,ok,,2
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,SV1,SVM (linear),True,,12,0.6241535150645624,0.02775226628354664,0.12,ok,,0
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,SV1,SVM (linear),True,,12,0.5967503586800573,0.04150667940811482,0.12,ok,,1
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,SV1,SVM (linear),True,,12,0.620771162123386,0.038407993135161134,0.12,ok,,2
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,SV2,Kernel SVM (RBF/Poly),True,,9,0.6202941176470589,0.03164533671238368,0.14,ok,,0
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,SV2,Kernel SVM (RBF/Poly),True,,9,0.6095337159253946,0.06360828396003687,0.14,ok,,1
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,SV2,Kernel SVM (RBF/Poly),True,,9,0.6044727403156385,0.019899557300363756,0.13,ok,,2
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,PR1,Naive Bayes,True,,16,0.624361549497848,0.052643086752682575,0.11,ok,,0
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,PR1,Naive Bayes,True,,16,0.5894942611190818,0.015947075893504054,0.12,ok,,1
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,PR1,Naive Bayes,True,,16,0.5641535150645625,0.05271544293188589,0.12,ok,,2
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,IB1,k-Nearest Neighbors,True,,14,0.5917503586800573,0.03686920272009907,0.13,ok,,0
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,IB1,k-Nearest Neighbors,True,,14,0.5891893830703013,0.04834446424107179,0.15,ok,,1
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,IB1,k-Nearest Neighbors,True,,14,0.6012984218077475,0.03645779196306662,0.12,ok,,2
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,DR4,LDA (Linear Discriminant Analysis),True,,11,0.6309182209469154,0.031836475030096345,0.13,ok,,0
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,DR4,LDA (Linear Discriminant Analysis),True,,11,0.6177797704447632,0.044672583268124844,0.14,ok,,1
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,DR4,LDA (Linear Discriminant Analysis),True,,11,0.6150968436154949,0.04398107221088676,0.13,ok,,2
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,NN1,Perceptron,True,,17,0.5645552367288378,0.09819017516839268,0.12,ok,,0
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,NN1,Perceptron,True,,17,0.5911764705882352,0.08021651065282559,0.12,ok,,1
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,NN1,Perceptron,True,,17,0.5675609756097562,0.07732044242023875,0.13,ok,,2
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,NN2,MLP (Feedforward),True,,5,0.6402654232424677,0.03340427139838864,3.82,ok,,0
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,NN2,MLP (Feedforward),True,,5,0.6179268292682927,0.07402196418664474,4.05,ok,,1
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,NN2,MLP (Feedforward),True,,5,0.6004878048780489,0.04265370308780644,3.95,ok,,2
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,EN3,XGBoost,True,,4,0.6015530846484936,0.034042408332973735,1.39,ok,,0
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,EN3,XGBoost,True,,4,0.6173134863701578,0.08078304783175583,0.29,ok,,1
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,EN3,XGBoost,True,,4,0.6323385939741751,0.05239602329690231,0.34,ok,,2
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,EN4,LightGBM,True,,2,0.6128407460545194,0.04577344987776854,0.26,ok,,0
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,EN4,LightGBM,True,,2,0.6010150645624103,0.06823690800798694,0.24,ok,,1
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,EN4,LightGBM,True,,2,0.602657819225251,0.05573888022578838,0.24,ok,,2
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,BASE-HGB,Histogram Gradient Boosting (baseline),False,,,0.5791893830703012,0.06805335004535706,0.7,ok,,0
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,BASE-HGB,Histogram Gradient Boosting (baseline),False,,,0.5866893830703013,0.05007517675524343,0.69,ok,,1
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,BASE-HGB,Histogram Gradient Boosting (baseline),False,,,0.622596843615495,0.054805109722236664,0.68,ok,,2
schizo,classification,340,14,False,A11 A21 A38 A41 A51 A61,A54,LM2,Logistic Regression,True,,10,0.4086324786324786,0.034809679469807044,0.14,ok,,0
